temperature,humidity,airflow,openness,Q
28.32,20.86575267,43,0.43,0
28.3,20.82280799,43,0.42,0
28.26,20.72695329,43,0.43,0
28.2,20.62946095,43,0.41,0
28.23,20.70483619,43,0.43,0
28.26,20.73204488,43,0.43,0
28.26,20.72949907,43,0.43,0
28.25,20.73739053,43,0.43,0
28.23,20.73279019,43,0.43,0
28.21,20.69770863,43,0.42,0
28.15,20.64841109,43,0.43,0
28.17,20.73151974,43,0.43,0
28.17,20.74671517,43,0.43,0
28.14,20.70676144,43,0.43,0
28.13,20.72714525,43,0.43,0
28.16,20.79498421,43,0.43,0
28.13,20.75746568,43,0.43,0
28.14,20.75226677,43,0.42,0
28.14,20.76490828,43,0.43,0
28.15,20.80777184,43,0.43,0
28.14,20.78766426,43,0.43,0
28.13,20.76757312,43,0.42,0
28.16,20.82030057,43,0.43,0
28.15,20.79512127,43,0.41,0
28.12,20.75002369,43,0.42,0
28.12,20.7626504,43,0.42,0
28.14,20.78513574,43,0.43,0
28.13,20.81053331,43,0.43,0
28.11,20.82082848,43,0.43,0
28.12,20.87126054,43,0.43,0
28.08,20.85632649,43,0.43,0
28.07,20.8437678,43,0.43,0
28.04,20.80613292,43,0.43,0
28.05,20.82621776,43,0.42,0
28.05,20.80106267,43,0.42,0
28.05,20.77842477,43,0.43,0
28.04,20.77848028,43,0.43,0
28.03,20.74838127,43,0.43,0
28.06,20.76074455,43,0.43,0
28.07,20.76318018,43,0.43,0
28.09,20.77559848,43,0.43,0
28.09,20.75543046,43,0.43,0
28.1,20.74270839,43,0.42,0
28.1,20.70739823,43,0.43,0
28.11,20.70220468,43,0.43,0
28.11,20.68706437,43,0.43,0
28.1,20.67209195,43,0.43,0
28.12,20.69447209,43,0.43,0
28.14,20.72698524,43,0.43,0
28.13,20.69935404,43,0.42,0
28.14,20.69665002,43,0.43,0
28.15,20.69646395,43,0.42,0
28.13,20.64630477,43,0.43,0
28.1,20.57123824,43,0.42,0
28.01,20.38737267,43,0.43,0
28.09,20.54626192,43,0.43,0
28.09,20.49588021,43,0.41,0
28.16,20.63806728,43,0.43,0
28.12,20.54806387,43,0.43,0
28.11,20.51804599,43,0.43,0
28.14,20.54501688,43,0.43,0
28.16,20.5444598,43,0.43,0
28.22,20.64921568,43,0.43,0
28.24,20.65881571,43,0.43,0
28.2,20.57620656,43,0.43,0
28.24,20.6537312,43,0.43,0
28.21,20.59366135,43,0.43,0
28.25,20.65852441,43,0.43,0
28.23,20.62352927,43,0.43,0
28.22,20.60097366,43,0.43,0
28.24,20.62830982,43,0.43,0
28.21,20.57590055,43,0.43,0
28.23,20.58542373,43,0.43,0
28.24,20.6257678,43,0.42,0
28.24,20.63339394,43,0.43,0
28.23,20.60828651,43,0.43,0
28.21,20.5835122,43,0.43,0
28.2,20.58127803,43,0.43,0
28.19,20.55369674,43,0.43,0
28.19,20.54862866,43,0.41,0
28.19,20.56636729,43,0.43,0
28.16,20.5368712,43,0.43,0
